 2.32630507e+02  5.35091699e+01  2.32630507e+02  1.78555444e+02 
 2.51188643e+02  5.35087128e+01  2.51188643e+02  1.78440247e+02 
 2.71227258e+02  5.35081799e+01  2.71227258e+02  1.78315874e+02 
 2.92864456e+02  5.35075586e+01  2.92864456e+02  1.78181597e+02 
 3.16227766e+02  5.35068344e+01  3.16227766e+02  1.78036631e+02 
 3.41454887e+02  5.35059901e+01  3.41454887e+02  1.77880128e+02 
 3.68694506e+02  5.35050060e+01  3.68694506e+02  1.77711175e+02 
 3.98107171e+02  5.35038589e+01  3.98107171e+02  1.77528789e+02 
 4.29866235e+02  5.35025219e+01  4.29866235e+02  1.77331909e+02 
 4.64158883e+02  5.35009636e+01  4.64158883e+02  1.77119394e+02 
 5.01187234e+02  5.34991474e+01  5.01187234e+02  1.76890015e+02 
 5.41169527e+02  5.34970308e+01  5.41169527e+02  1.76642448e+02 
 5.84341413e+02  5.34945644e+01  5.84341413e+02  1.76375273e+02 
 6.30957344e+02  5.34916905e+01  6.30957344e+02  1.76086960e+02 
 6.81292069e+02  5.34883422e+01  6.81292069e+02  1.75775870e+02 
 7.35642254e+02  5.34844416e+01  7.35642254e+02  1.75440243e+02 
 7.94328235e+02  5.34798983e+01  7.94328235e+02  1.75078192e+02 
 8.57695899e+02  5.34746071e+01  8.57695899e+02  1.74687700e+02 
 9.26118728e+02  5.34684462e+01  9.26118728e+02  1.74266611e+02 
 1.00000000e+03  5.34612742e+01  1.00000000e+03  1.73812625e+02 
 1.07977516e+03  5.34529271e+01  1.07977516e+03  1.73323296e+02 
 1.16591440e+03  5.34432154e+01  1.16591440e+03  1.72796026e+02 
 1.25892541e+03  5.34319197e+01  1.25892541e+03  1.72228066e+02 
 1.35935639e+03  5.34187868e+01  1.35935639e+03  1.71616516e+02 
 1.46779927e+03  5.34035251e+01  1.46779927e+03  1.70958331e+02 
 1.58489319e+03  5.33857986e+01  1.58489319e+03  1.70250327e+02 
 1.71132830e+03  5.33652219e+01  1.71132830e+03  1.69489200e+02 
 1.84784980e+03  5.33413538e+01  1.84784980e+03  1.68671541e+02 
 1.99526231e+03  5.33136902e+01  1.99526231e+03  1.67793866e+02 
 2.15443469e+03  5.32816578e+01  2.15443469e+03  1.66852653e+02 
 2.32630507e+03  5.32446066e+01  2.32630507e+03  1.65844392e+02 
 2.51188643e+03  5.32018035e+01  2.51188643e+03  1.64765641e+02 
 2.71227258e+03  5.31524256e+01  2.71227258e+03  1.63613107e+02 
 2.92864456e+03  5.30955552e+01  2.92864456e+03  1.62383733e+02 
 3.16227766e+03  5.30301760e+01  3.16227766e+03  1.61074805e+02 
 3.41454887e+03  5.29551718e+01  3.41454887e+03  1.59684078e+02 
 3.68694506e+03  5.28693282e+01  3.68694506e+03  1.58209910e+02 
 3.98107171e+03  5.27713384e+01  3.98107171e+03  1.56651420e+02 
 4.29866235e+03  5.26598141e+01  4.29866235e+03  1.55008640e+02 
 4.64158883e+03  5.25333024e+01  4.64158883e+03  1.53282680e+02 
 5.01187234e+03  5.23903084e+01  5.01187234e+03  1.51475877e+02 
 5.41169527e+03  5.22293253e+01  5.41169527e+03  1.49591923e+02 
 5.84341413e+03  5.20488704e+01  5.84341413e+03  1.47635967e+02 
 6.30957344e+03  5.18475268e+01  6.30957344e+03  1.45614654e+02 
 6.81292069e+03  5.16239887e+01  6.81292069e+03  1.43536120e+02 
 7.35642254e+03  5.13771083e+01  7.35642254e+03  1.41409901e+02 
 7.94328235e+03  5.11059401e+01  7.94328235e+03  1.39246772e+02 
 8.57695899e+03  5.08097807e+01  8.57695899e+03  1.37058516e+02 
 9.26118728e+03  5.04881999e+01  9.26118728e+03  1.34857619e+02 
 1.00000000e+04  5.01410601e+01  1.00000000e+04  1.32656923e+02 
 1.07977516e+04  4.97685229e+01  1.07977516e+04  1.30469253e+02 
 1.16591440e+04  4.93710413e+01  1.16591440e+04  1.28307045e+02 
 1.25892541e+04  4.89493394e+01  1.25892541e+04  1.26182001e+02 
